split,model,calibrated,coverage,n,prevalence,brier,ece,auroc,auprc
iid,gc_artifact_logreg,False,1.0,1200.0,0.5,0.24497278779234505,0.07350770664391115,0.5688041666666667,0.6292243680230513
iid,gc_artifact_logreg,False,0.8,960.0,0.5333333333333333,0.2434197544710502,0.05825640760599484,0.5889500209263393,0.6682912714810438
iid,gc_artifact_logreg,False,0.6,720.0,0.5597222222222222,0.24057974600978657,0.06302801682725695,0.6148484160593655,0.7097505013857377
iid,gc_artifact_logreg,False,0.4,480.0,0.5875,0.23601729547046688,0.09032724229022827,0.6494824127802851,0.7595882798596062
iid,gc_artifact_logreg,False,0.2,240.0,0.6916666666666667,0.2235231084150165,0.19019518184845335,0.7431211331813742,0.8631631533361777
iid,gc_artifact_logreg,True,1.0,1200.0,0.5,0.24550485734150926,0.09800720822022181,0.5688041666666667,0.6292243680230513
iid,gc_artifact_logreg,True,0.8,960.0,0.534375,0.24414025957566698,0.08776250717277531,0.5889643322823589,0.6688326368912971
iid,gc_artifact_logreg,True,0.6,720.0,0.5541666666666667,0.2409092313847618,0.09828531166507316,0.6134963577167216,0.7066255847804939
iid,gc_artifact_logreg,True,0.4,480.0,0.5875,0.23651246019588257,0.1318023871871347,0.6495003223726628,0.7596001755612987
iid,gc_artifact_logreg,True,0.2,240.0,0.6916666666666667,0.22091372112851523,0.20105765312789037,0.7436095734288506,0.8636106360606721
iid,kmer_logreg,False,1.0,1200.0,0.5,0.23553693194146988,0.1709810804772303,0.7488388888888888,0.7614032641722405
iid,kmer_logreg,False,0.8,960.0,0.4979166666666667,0.23145807334485688,0.1924227393789312,0.7796836750638032,0.7917964334093388
iid,kmer_logreg,False,0.6,720.0,0.4930555555555556,0.21725707227255356,0.19414605260784298,0.8139533088944626,0.8274375365392376
iid,kmer_logreg,False,0.4,480.0,0.5229166666666667,0.18695096982187334,0.17753161770096737,0.8710311592059709,0.8874833041431915
iid,kmer_logreg,False,0.2,240.0,0.6,0.069905141656152,0.0648949801864182,0.9356192129629629,0.9496969573548883
iid,kmer_logreg,True,1.0,1200.0,0.5,0.20358887181888108,0.06048506381989083,0.7488388888888888,0.7614032641722405
iid,kmer_logreg,True,0.8,960.0,0.49166666666666664,0.19093214544660517,0.06325356860567612,0.7789359891636567,0.789609285258826
iid,kmer_logreg,True,0.6,720.0,0.4777777777777778,0.174485739319282,0.06965264843495525,0.8121830158337456,0.8230540757958376
iid,kmer_logreg,True,0.4,480.0,0.5020833333333333,0.14320021664121307,0.05901664081804988,0.8675324224378896,0.8817141099759511
iid,kmer_logreg,True,0.2,240.0,0.5458333333333333,0.07266705083592397,0.025202814693287445,0.936690244414875,0.9454907403778396
iid,kmer_metadata_logreg,False,1.0,1200.0,0.5,0.23085212634768,0.15934682158356858,0.7574444444444445,0.7654048056522349
iid,kmer_metadata_logreg,False,0.8,960.0,0.49166666666666664,0.2262541162234724,0.18672171033988502,0.7876493470408447,0.7932511185195787
iid,kmer_metadata_logreg,False,0.6,720.0,0.4930555555555556,0.21224761506495177,0.1907844513096954,0.8244182905653097,0.8312936549710919
iid,kmer_metadata_logreg,False,0.4,480.0,0.5083333333333333,0.17592056496142439,0.16678642451546927,0.8832835509863852,0.8893932607715609
iid,kmer_metadata_logreg,False,0.2,240.0,0.5833333333333334,0.0781500189395293,0.07382668736156052,0.9317142857142857,0.9431408878019218
iid,kmer_metadata_logreg,True,1.0,1200.0,0.5,0.20014812314154165,0.0510742242180664,0.7574444444444445,0.7654048056522349
iid,kmer_metadata_logreg,True,0.8,960.0,0.48541666666666666,0.18890555350829744,0.05806770609915225,0.7871149067783356,0.7912554771725786
iid,kmer_metadata_logreg,True,0.6,720.0,0.47638888888888886,0.17206445074944182,0.06170946286821982,0.8226678318163188,0.8266289269782281
iid,kmer_metadata_logreg,True,0.4,480.0,0.5020833333333333,0.13924246194157755,0.0547020414813917,0.8827062969843227,0.8880517009677174
